# N X AER AER'
234 1.656250e-01 0.000000e+00 0.000000e+00
235 1.671875e-01 0.000000e+00 0.000000e+00
236 1.687500e-01 0.000000e+00 0.000000e+00
237 1.703125e-01 0.000000e+00 0.000000e+00
238 1.718750e-01 0.000000e+00 0.000000e+00
239 1.734375e-01 0.000000e+00 0.000000e+00
240 1.750000e-01 0.000000e+00 0.000000e+00
241 1.765625e-01 0.000000e+00 0.000000e+00
242 1.781250e-01 0.000000e+00 0.000000e+00
243 1.796875e-01 0.000000e+00 0.000000e+00
244 1.812500e-01 0.000000e+00 0.000000e+00
245 1.828125e-01 0.000000e+00 0.000000e+00
246 1.843750e-01 0.000000e+00 0.000000e+00
247 1.859375e-01 0.000000e+00 0.000000e+00
248 1.875000e-01 0.000000e+00 0.000000e+00
249 1.890625e-01 0.000000e+00 0.000000e+00
250 1.906250e-01 0.000000e+00 0.000000e+00
251 1.921875e-01 0.000000e+00 0.000000e+00
252 1.937500e-01 0.000000e+00 0.000000e+00
253 1.953125e-01 0.000000e+00 0.000000e+00
254 1.968750e-01 0.000000e+00 0.000000e+00
255 1.984375e-01 0.000000e+00 0.000000e+00
256 2.000000e-01 0.000000e+00 0.000000e+00
